Rep,SampID,replicate,Cruise,Compound,Area,min.area.flag,blk.ratio.flag
220628_Smp_MU24_C,MU24,C,KM1906,Dimethylsulfoniopropionate,457929824,NA,NA
220628_Smp_MU3_A,MU3,A,KM1906,Dimethylsulfoniopropionate,41189796,NA,NA
220628_Smp_MU3_B,MU3,B,KM1906,Dimethylsulfoniopropionate,224433328,NA,NA
220628_Smp_MU3_C,MU3,C,KM1906,Dimethylsulfoniopropionate,162673072,NA,NA
220628_Smp_MU4_A,MU4,A,KM1906,Dimethylsulfoniopropionate,323768512,NA,NA
220628_Smp_MU4_B,MU4,B,KM1906,Dimethylsulfoniopropionate,490202464,NA,NA
220628_Smp_MU4_C,MU4,C,KM1906,Dimethylsulfoniopropionate,84535144,NA,NA
220628_Smp_MU5_A,MU5,A,KM1906,Dimethylsulfoniopropionate,448078336,NA,NA
220628_Smp_MU5_B,MU5,B,KM1906,Dimethylsulfoniopropionate,325044640,NA,NA
220628_Smp_MU5_C,MU5,C,KM1906,Dimethylsulfoniopropionate,72525208,NA,NA
220628_Smp_MU6_A,MU6,A,KM1906,Dimethylsulfoniopropionate,88131120,NA,NA
220628_Smp_MU6_B,MU6,B,KM1906,Dimethylsulfoniopropionate,392964192,NA,NA
220628_Smp_MU6_C,MU6,C,KM1906,Dimethylsulfoniopropionate,477282560,NA,NA
220628_Smp_MU7_A,MU7,A,KM1906,Dimethylsulfoniopropionate,422402432,NA,NA
220628_Smp_MU7_B,MU7,B,KM1906,Dimethylsulfoniopropionate,413583488,NA,NA
220628_Smp_MU7_C,MU7,C,KM1906,Dimethylsulfoniopropionate,210874560,NA,NA
220628_Smp_MU8_A,MU8,A,KM1906,Dimethylsulfoniopropionate,238453120,NA,NA
220628_Smp_MU8_B,MU8,B,KM1906,Dimethylsulfoniopropionate,212014384,NA,NA
220628_Smp_MU8_C,MU8,C,KM1906,Dimethylsulfoniopropionate,914347200,NA,NA
220628_Smp_MU9_A,MU9,A,KM1906,Dimethylsulfoniopropionate,577292608,NA,NA
